id,motif,probability,motif_index
30,132,0.5480887293815613,1
30,188,0.3481404483318329,2
30,64,0.10117126256227493,3
31,68,0.7275886535644531,1
31,138,0.1972077190876007,2
31,81,0.07141982764005661,3
32,141,0.3634004294872284,1
32,51,0.258812814950943,2
32,148,0.17726939916610718,3
32,198,0.10282304137945175,4
32,18,0.05673951655626297,5
32,106,0.039006613194942474,6
33,99,0.5715628862380981,1
33,94,0.30664926767349243,2
33,86,0.056257862597703934,3
33,197,0.048997048288583755,4
33,64,0.014535230584442616,5
38,99,0.9744735360145569,1
38,100,0.01950928196310997,2
38,175,0.003945604432374239,3
42,132,0.8303207755088806,1
42,67,0.165285125374794,2
43,91,0.9287688136100769,1
43,4,0.06336192786693573,2
44,132,0.6413425803184509,1
44,69,0.20776541531085968,2
44,175,0.057292740792036057,3
44,183,0.057244379073381424,4
44,100,0.015145574696362019,5
44,64,0.009065103717148304,6
44,162,0.009042767807841301,7
46,163,0.37821313738822937,1
46,84,0.3515535593032837,2
46,138,0.15128600597381592,3
46,129,0.08572801947593689,4
46,170,0.03243369609117508,5
47,129,0.8245627880096436,1
47,68,0.1157897338271141,2
47,100,0.04855092242360115,3
47,118,0.004701137077063322,4
47,47,0.00313634448684752,5
48,119,0.4345519244670868,1
48,86,0.4265095889568329,2
48,132,0.06338022649288177,3
48,68,0.03420534357428551,4
48,81,0.02616020292043686,5
48,138,0.007045763544738293,6
48,56,0.00603889673948288,7
49,170,0.7568496465682983,1
49,81,0.09487677365541458,2
49,56,0.0756862685084343,3
49,84,0.05862895026803017,4
49,58,0.01279551163315773,5
50,86,0.5076214671134949,1
50,56,0.42360833287239075,2
50,94,0.052066802978515625,3
50,81,0.014206835068762302,4
52,86,0.7541936039924622,1
52,132,0.12552785873413086,2
52,81,0.09548748284578323,3
52,99,0.015024279244244099,4
52,134,0.008585033006966114,5
54,129,0.8092438578605652,1
54,94,0.06620392203330994,2
54,84,0.06620203703641891,3
54,138,0.03196379914879799,4
54,163,0.014847610145807266,5
54,81,0.005714459344744682,6
54,64,0.004577843006700277,7
55,86,0.5088921785354614,1
55,188,0.3397616147994995,2
55,118,0.08831331133842468,3
55,73,0.05238879472017288,4
55,193,0.008986493572592735,5
56,99,0.510016679763794,1
56,162,0.36087846755981445,2
56,68,0.05892622098326683,3
56,86,0.022103991359472275,4
56,197,0.02210097387433052,5
56,100,0.014785225503146648,6
56,64,0.009225770831108093,7
57,141,0.741832971572876,1
57,17,0.2147548347711563,2
57,112,0.015642764046788216,3
57,96,0.01173027791082859,4
57,151,0.003935313783586025,5
57,122,0.0039220647886395454,6
57,115,0.003921564668416977,7
58,99,0.8657045960426331,1
58,100,0.05418380722403526,2
58,175,0.0541793555021286,3
58,165,0.023224489763379097,4
59,4,0.4953210651874542,1
59,164,0.37824973464012146,2
59,199,0.12308546155691147,3
60,134,0.5262807011604309,1
60,132,0.3954242467880249,2
60,99,0.0640566349029541,3
60,166,0.011157183907926083,4
61,126,0.9203661680221558,1
61,9,0.054158616811037064,2
61,112,0.020849497988820076,3
62,69,0.861672580242157,1
62,175,0.10970720648765564,2
62,100,0.024255214259028435,3
62,165,0.002868542680516839,4
